title,price,rating,in_stock
A Light in the Attic,51.77,3,True
Tipping the Velvet,53.74,1,True
Soumission,50.1,1,True
Sharp Objects,47.82,4,True
Sapiens: A Brief History of Humankind,54.23,5,True
The Requiem Red,22.65,1,True
The Dirty Little Secrets of Getting Your Dream Job,33.34,4,True
"The Coming Woman: A Novel Based on the Life of the Infamous Feminist, Victoria Woodhull",17.93,3,True
The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,22.6,4,True
The Black Maria,52.15,1,True
"Starving Hearts (Triangular Trade Trilogy, #1)",13.99,2,True
Shakespeare's Sonnets,20.66,4,True
Set Me Free,17.46,5,True
Scott Pilgrim's Precious Little Life,52.29,5,True
Rip it Up and Start Again,35.02,5,True
